imo,name,ship_type,fuel_kg_per_nm_consumption,c02_kg_per_nm_emissions
8001024,CSL ELBE,Bulk carrier,56.75,181.95
8008450,CSL RHINE,Bulk carrier,62.6,200.69
8009533,MEGA STAR,Bulk carrier,54.94,173.26
8009545,SIRIOS CEMENT I,Other ship types,44.67,141.34
8013132,POLARSTERN,Other ship types,155.16,497.46
8019368,VESTERALEN,Ro-pax ship,53.06,170.12
8020599,AKRITAS,Ro-ro ship,107.17,334.88
8020604,ALEXO,Ro-ro ship,90.78,284.6
8020642,MOBY ZAZA',Ro-pax ship,138.22,435.38
8020927,PREVELIS,Ro-pax ship,94.96,299.23
8025343,SUPER SERVANT 4,Other ship types,103.43,322.99
8026907,ZHEN HUA 19,Other ship types,138.2,432.28
8027298,MARELLA CELEBRATION,Passenger ship,203.01,636.49
8030283,AVIVA,Ro-ro ship,54.57,171.46
8105404,RAMA H,General cargo ship,35.44,111.37
8107000,STEVIA,General cargo ship,39.94,125.27
8110681,BONTRUP AMSTERDAM,Bulk carrier,115.11,360.76
8116972,LILY-HA,General cargo ship,37.7,118.59
8121020,PAPA JOY,General cargo ship,49,153.21
8122957,OYA STAR,Other ship types,64.46,201.88
8125454,ARAL,Chemical tanker,44.75,139.87
8129321,ALTRANY,General cargo ship,34.04,107.02
8130681,CHL PROGRESSOR,Other ship types,100.21,313.97
8130875,MIGHTY SERVANT 1,Other ship types,206.41,644.47
8130899,MIGHTY SERVANT 3,Other ship types,172.55,545.55
8201480,ARTANIA,Passenger ship,200.97,633.75
8201624,MSC IRIS,Container ship,111.11,351.53
8201636,MSC MALIN,Container ship,116.1,367.39
8201648,MSC EYRA,Container ship,119.62,379.14
8202355,ARABIAN BREEZE,Vehicle carrier,74.13,232.28
8202367,AEGEAN BREEZE,Vehicle carrier,75.89,238.12
8202381,ASIAN BREEZE,Vehicle carrier,80.9,253.36
8202525,SEA DOVE,Bulk carrier,72.16,226.7
8202939,MURVET ANA,General cargo ship,45.49,142.98
8204731,KIVELI,Bulk carrier,91.75,286.71
8208763,POETA LOPEZ ANGLADA,Ro-pax ship,147.79,462.74
8215780,LADY MASSA,General cargo ship,96.39,301.67
8217881,MAGELLAN,Passenger ship,242.52,767.48
8219906,SCILLA,Ro-pax ship,173.43,556.03
8219918,VILLA,Ro-pax ship,188.75,605.12
8222111,VASALAND,Ro-ro ship,95.24,298.06
8300389,HAPPY BUCCANEER,General cargo ship,86.83,273.47
8302014,GIULIO VERNE,Other ship types,111.54,354.54
8302272,ZERAN,Container/ro-ro cargo ship,77.1,240.8
8302301,CHODZIEZ,Ro-ro ship,80.36,251.12
8306486,MEGA SMERALDA,Ro-pax ship,192.52,599.7
8306498,MEGA ANDREA,Ro-pax ship,196.67,612.5
8307947,TAHA-Y,General cargo ship,77.87,244.49
8308147,CURACAO PEARL,General cargo ship,76.92,242.4
8309397,BONTRUP PEARL,General cargo ship,83.24,262.46
8309402,MOBILE PEARL,General cargo ship,92.2,287.98
8309830,STAR FUJI,General cargo ship,89.11,278.11
8311106,ICE ROSE,Refrigerated cargo carrier,74.13,231.48
8311118,ICE RIVER,Refrigerated cargo carrier,72.23,225.32
8311120,ICE RUNNER,Refrigerated cargo carrier,83.22,259.86
8311132,ICE RANGER,Refrigerated cargo carrier,83.58,260.77
8312071,UNI-BROTHERS,Bulk carrier,51.05,160.16
8312095,SKIPPERS-Y,Bulk carrier,64.62,202.05
8312590,BALTIC BREEZE (Vehicle carrier),Vehicle carrier,69.2,220.25
8312643,BM SPIRIDON,Other ship types,78.85,246.55
8313702,IBIS ARROW,General cargo ship,110.89,346.28
8315554,TERTNES,Bulk carrier,44.7,143.02
8317942,COLOR VIKING,Ro-pax ship,123.31,395.33
8317954,STENA NAUTICA,Ro-pax ship,98.17,309.74
8320573,MARIELLA,Ro-pax ship,155.34,489.49
8321931,FEDERAL ADI,Bulk carrier,71.65,224.07
8400036,MAESTRO UNIVERSE,Ro-ro ship,64.33,203.34
8400218,ORHAN-Y,General cargo ship,54.98,171.97
8401133,MAESTRO SUN,Ro-ro ship,119.99,375.63
8401444,SAILOR,Ro-pax ship,116.79,365.88
8401523,OSMAN PRINCE,General cargo ship,45.6,142.64
8407735,MARELLA DREAM,Passenger ship,283.09,885.13
8408650,HALA. B,General cargo ship,40.45,126.68
8413887,MSC LUCIA,Container ship,121.19,378.96
8414582,SPL PRINCESS ANASTASIA,Ro-pax ship,169.68,534.68
8414726,ZHEN HUA 24,Other ship types,126.38,394.85
8414738,ZHEN HUA 23,Other ship types,111.06,346.95
8415794,SEA PATRIS,Vehicle carrier,78.19,245.11
8416308,SNAV ADRIATICO,Ro-pax ship,199.08,625.31
8417118,SAFFET BEY,Ro-ro ship,66.77,208.52
8418174,RAUTARUUKKI,Other ship types,90.47,285.28
8418253,ALI-B,General cargo ship,37.92,119.94
8418265,MERRY M,General cargo ship,28.65,89.66
8418746,MIA,Bulk carrier,61.15,190.81
8418758,MARYLAND,Bulk carrier,105.15,328.47
8420426,CAP CAMARAT,Container ship,32.85,105.33
8420787,STAR GRIP,General cargo ship,89.03,278.57
8420842,WOLIN,Ro-pax ship,104.42,329.05
8420878,WIND STAR,Passenger ship,48.83,156.55
8500630,ATLANTIC LADY,Refrigerated cargo carrier,124.56,395.05
8501464,ULUSOY-5,Ro-ro ship,78.41,244.9
8501957,PRIDE OF YORK,Ro-pax ship,169.18,526.85
8502080,INZHENER TRUBIN,General cargo ship,52.08,165.07
8502107,INZHENER VESHNYAKOV,General cargo ship,42.76,134.9
8502391,PRINCESS SEAWAYS,Ro-pax ship,159.6,497.21
8502406,KING SEAWAYS,Ro-pax ship,171.71,535
8503503,STEEL (Other ship types),Other ship types,95.67,301.69
8503797,PRIDE OF BRUGES,Ro-pax ship,156.24,486.78
8505836,MSC GIOVANNA,Container ship,101.73,318.4
8506294,BALMORAL,Passenger ship,210.16,667.11
8506311,OSCAR WILDE,Ro-pax ship,168.55,531.55
8506373,ASTOR,Passenger ship,136.1,433.89
8508670,HICRI KAAN,Chemical tanker,85.7,269.12
8509557,NOVIY SVET,Refrigerated cargo carrier,96.88,307.4
8512152,AL ANDALUS EXPRESS,Ro-pax ship,133.52,417.95
8512281,SOVEREIGN,Passenger ship,263.81,825.46
8512891,MSC AUGUSTA,Container ship,96.82,302.83
8512982,PACIFIC PEARL,General cargo ship,76.69,240.18
8515893,VINTERLAND,Ro-ro ship,65.33,204.21
8516835,RUSEN METE,General cargo ship,35.8,112.54
8517592,LEPTIS STAR,Other ship types,40.42,126.71
8519710,SILVER SUN,Vehicle carrier,73.5,230.79
8520824,AMADORE,Bulk carrier,42.23,132.47
8521397,MSC FLORIANA,Container ship,88.17,275.55
8521402,MSC ANNAMARIA,Container ship,98.52,308.18
8601915,AMORELLA,Ro-pax ship,149.77,471.94
8603365,INZHENER PLAVINSKIY,General cargo ship,47.11,149.03
8603377,ALEKSANDR SIBIRYAKOV,General cargo ship,42.72,134.93
8603406,IOHANN MAHMASTAL,General cargo ship,46.27,144.83
8604711,JAN SNIADECKI,Ro-pax ship,85.46,269.3
8606109,ISMAIL SENER,General cargo ship,52.1,163.52
8611398,COLUMBUS,Passenger ship,253.29,804.67
8611984,CENK CAR,Vehicle carrier,24.6,77.4
8616336,BLUE HORIZON,Ro-pax ship,172.79,545.6
8617940,TREASURE (Other ship types),Other ship types,162.92,508.09
8618293,MSC VERONIQUE,Container ship,191.19,595.39
8618358,HUCKLEBERRY FINN,Ro-pax ship,139.34,439.09
8700230,CHAITEN,Refrigerated cargo carrier,92.62,289.73
8700242,ZHEN HUA 25,Other ship types,162.12,506.8
8700498,ZHEN HUA 29,Other ship types,107.69,336.21
8700723,ISABELLE,Ro-pax ship,165.98,522.99
8700785,WIND SURF,Passenger ship,102.45,328.47
8701674,PEARL SEAWAYS,Ro-pax ship,135.48,422.33
8701935,KENAN METE,Bulk carrier,106.29,333.83
8702446,PETAR HEKTOROVIC,Ro-pax ship,40.97,131.35
8703232,TOM SAWYER,Ro-pax ship,143.1,450.91
8703270,FARAH PRINCESS,General cargo ship,31.55,98.43
8704406,NISSOS RODOS,Ro-pax ship,186.21,587.35
8705383,SASSNITZ,Ro-pax ship,128.38,404.75
8705395,MEDITERRANEE,Ro-pax ship,223.2,696.78
8705709,SANSOVINO (Ro-pax ship),Ro-pax ship,81.24,260.45
8706777,ICE GRACE,Refrigerated cargo carrier,72.46,226.33
8706789,ICE GLACIER,Refrigerated cargo carrier,72.7,227.05
8707329,BRETAGNE,Ro-pax ship,145.93,467.84
8707343,STAR PRIDE,Passenger ship,107.75,338.31
8708830,SINGLE EAGLE,Vehicle carrier,59.42,183.38
8709640,MSC MIRELLA,Container ship,125.12,391.95
8710340,FRIO ATHENS,Refrigerated cargo carrier,98.92,309.46
8710871,IT INTREPID,Other ship types,99.88,313.5
8711306,ANDREY OSIPOV,General cargo ship,52.25,164.46
8711320,POLAR KING,General cargo ship,57.37,180.07
8712518,GNV CRISTAL,Ro-pax ship,186.58,585.05
8712520,GNV ATLAS,Ro-pax ship,188.47,590.86
8712635,NISSOS SAMOS,Ro-pax ship,153.31,483.66
8713562,AFRIC STAR,Refrigerated cargo carrier,92.45,289.78
8715259,SILJA SERENADE,Ro-pax ship,201.66,635.43
8715857,MSC SARISKA,Container ship,224.28,702.53
8715869,MSC FEDERICA,Container ship,240.05,754.12
8715871,MSC PILAR,Container ship,210.71,657.31
8716100,POLARIS VG,Ro-ro ship,47.43,152.05
8719188,VIKING CINDERELLA,Ro-pax ship,129.3,407.41
8800315,USOLIE,Bulk carrier,93.36,291.84
8801802,FRIO OLYMPIC,Refrigerated cargo carrier,83.78,261.62
8802090,BALTIC SUMMER,Refrigerated cargo carrier,78.27,245.16
8803769,SILJA SYMPHONY,Ro-pax ship,197.5,622.31
8805602,LINK STAR,Container/ro-ro cargo ship,35.81,114.81
8806204,ASUKA II,Passenger ship,246.02,772.69
8807088,HORIZON (Passenger ship),Passenger ship,258.43,808.58
8807155,NEPTUNE AVRA,Vehicle carrier,76.27,238.29
8807997,STAR BREEZE,Passenger ship,94.62,299.37
8808604,TRANS DANIA,General cargo ship,37.91,120.19
8811390,BAKU (General cargo ship),General cargo ship,54.87,171.96
8811405,ASKABAT,General cargo ship,61.18,190.82
8813154,BALTICA,Container/ro-ro cargo ship,90.25,284.8
8813594,BALTIC PRINCE,Refrigerated cargo carrier,81.99,255.7
8813635,NOVA FLORIDA,Refrigerated cargo carrier,51.04,159.64
8816156,ALMEDA STAR,Refrigerated cargo carrier,69.08,217.14
8816168,AVELONA STAR,Refrigerated cargo carrier,86.79,272.27
8816170,ANDALUCIA STAR,Refrigerated cargo carrier,78.72,246.87
8817100,SEA CRUISER 1,Other ship types,49.69,159.31
8818300,GRYF,Ro-pax ship,85.48,269.87
8818764,NORRLAND,Container/ro-ro cargo ship,32.69,104.81
8819275,SCOMBRUS,Refrigerated cargo carrier,45.44,142.69
8819926,DITLEV REEFER,Refrigerated cargo carrier,100.19,314.56
8819938,IVAR REEFER,Refrigerated cargo carrier,75.6,236.73
8820016,CLARA MAERSK,Container ship,103.98,325.52
8820858,TRANSPORTER (Container/ro-ro cargo ship),Container/ro-ro cargo ship,114.73,362.19
8820860,EXPORTER,Ro-ro ship,49.06,157.3
8850906,VOLZHSKIY-40,General cargo ship,20.13,64.53
8872801,LUCKY JOY,General cargo ship,48.81,153.19
8873324,VOLZHSKIY-50,General cargo ship,29.76,95.41
8873489,VOLZHSKIY-44,General cargo ship,20.48,65.66
8876340,ALEXANDRA (General cargo ship),General cargo ship,25.02,80.2
8884555,BAHAR-K,General cargo ship,34.55,108.54
8901585,SOFIYA,Bulk carrier,56.41,177.26
8901925,GRAND (Container ship),Container ship,92.76,290.76
8902931,JOY M,Bulk carrier,51.41,160.7
8903155,PIETRO MANUNTA,Ro-ro ship,106.37,333.69
8903167,KNUD REEFER,Refrigerated cargo carrier,104.71,327.47
8903923,SILVER CLOUD,Passenger ship,125.66,402.76
8903935,SILVER WIND,Passenger ship,139.28,439.94
8907280,FAST FERRIES ANDROS,Ro-pax ship,109.31,340.63
8907424,BREMEN,Passenger ship,71.61,226.91
8907577,GRAIN GLORY,Bulk carrier,57.96,181.42
8907876,SWAN CHACABUCO,Refrigerated cargo carrier,88.8,278.41
8907888,HUMBOLDT BAY,Refrigerated cargo carrier,66.58,208.62
8908193,FRIO LAS PALMAS,Refrigerated cargo carrier,93.13,292.51
8908466,CALAIS SEAWAYS,Ro-pax ship,183.04,573.12
8908569,QUEEN ISABELLA,Gas carrier,79.22,247.47
8908583,CSL TRIMNES,Bulk carrier,75.15,239.69
8908844,KAN 1,General cargo ship,70.17,219.63
8908868,TAILWIND,Bulk carrier,54.93,171.76
8909070,BALTIC SPRING,Refrigerated cargo carrier,75.11,234.74
8911073,EVEREST BAY,Refrigerated cargo carrier,78.9,246.81
8911516,MONTE D'ORO,Ro-pax ship,130.41,407.82
8911736,SC AHTELA,Ro-ro ship,52.88,166.99
8911748,SHIPPER,Ro-ro ship,51.12,163.88
8912297,YEOMAN BONTRUP,Bulk carrier,133.44,416.64
8912302,YEOMAN BRIDGE,Bulk carrier,121.05,386.23
8912326,STELLAPRIMA,Other ship types,49.09,154.01
8912388,MARFRET NIOLON,Ro-ro ship,55.24,172.35
8913162,AMADEA,Passenger ship,163.57,516.88
8913411,MSC SANTHYA,Container ship,153.55,489.25
8913423,MSC SHANNON,Container ship,149.69,469.23
8913447,MSC ATLANTIC,Container ship,167.89,529.38
8913514,JINSEI MARU,Vehicle carrier,95.94,299.72
8914128,MORNES,General cargo ship,52.88,166.88
8914130,NORDANHAV,General cargo ship,41.21,128.75
8914312,MEHMET AGA,General cargo ship,38.18,119.58
8916126,DIAGORAS,Ro-pax ship,109.78,347.21
8916229,FRIO MARATHON,Refrigerated cargo carrier,64.86,203.98
8917390,PATRIA SEAWAYS,Ro-pax ship,88.83,278.1
8917546,CHILEAN REEFER,Refrigerated cargo carrier,137.98,430.45
8917572,PERUVIAN REEFER,Refrigerated cargo carrier,88.44,276.43
8917601,GABRIELLA,Ro-pax ship,162.14,510.91
8917613,CROWN SEAWAYS,Ro-pax ship,146.81,461.18
8917778,MSC ELOISE,Container ship,139.54,435.33
8917883,AKNOUL,Container ship,48.62,152.82
8917895,SC ASTREA,Ro-ro ship,51.97,166.63
8918136,ZENITH,Passenger ship,250.79,791.18
8918215,GROUSE ARROW,General cargo ship,90.6,282.63
8918227,MOZU ARROW,General cargo ship,95.42,298.07
8918277,SAGA TIDE,General cargo ship,89.01,278.91
8918289,SAGA WAVE,General cargo ship,76.43,238.33
8918631,MALMNES,General cargo ship,35.71,111.4
8918708,PITZTAL,General cargo ship,57.76,185.19
8918722,PRINCE JOY,General cargo ship,46.63,145.84
8918734,ZILLERTAL,General cargo ship,66.12,211.98
8918942,TALISMAN (Other ship types),Other ship types,129.15,403.4
8918954,MSC NEDERLAND,Container ship,145.41,458.99
8918966,MSC MANDY,Container ship,155.38,489.33
8918978,MSC SUEZ,Container ship,155.57,489.11
8918980,MSC JORDAN,Container ship,159.77,502.68
8919049,STOLT CEDAR,Chemical tanker,104.19,324.85
8919788,ANNABELLA I,General cargo ship,53.62,167.88
8919805,SILJA EUROPA,Ro-pax ship,354.76,1117.84
8919879,ROELOF,General cargo ship,43.98,137.79
8919934,INTEGRITY (Vehicle carrier),Vehicle carrier,93.04,292.75
8920141,FUJI BAY,Refrigerated cargo carrier,52.82,165.24
8920983,HARENGUS,Refrigerated cargo carrier,50.75,159.6
8922163,ASTERION II,Ro-pax ship,171.61,535.14
8927979,ALICE (General cargo ship),General cargo ship,30.37,97.38
8933564,VOLZHSKIY 47,General cargo ship,29.14,93.42
8945086,VICTOR MARTYNENKO,General cargo ship,23.34,74.83
8986365,GRIGORY MALOV,General cargo ship,44.49,142.62
8986389,YURIY POLTORATZKIY,General cargo ship,35.6,114.12
9000168,RCGS RESOLUTE,Passenger ship,83.85,267.4
9000314,SIMA,General cargo ship,54.41,170.75
9000443,EKATERINI P.,Ro-pax ship,76.58,238.72
9000687,GEMINI (Passenger ship),Passenger ship,195.38,611.4
9000699,BRAEMAR,Passenger ship,155.21,491.24
9000742,MSC JENNY,Container ship,128.28,402.31
9002647,MIMER,Ro-ro ship,42.02,134.72
9002659,MIDAS,Ro-ro ship,36.93,118.4
9004217,PURKI,Container ship,60.72,189.62
9004231,MSC ESHA,Container ship,84.52,264.74
9004413,HOLSTEIN EXPRESS,Other ship types,64.96,203.35
9004475,NEFRYT,General cargo ship,53.82,168.39
9004504,ARIA VIBE,General cargo ship,49.35,154.38
9005429,NADA,General cargo ship,178.85,557.75
9006112,UNDINE (Ro-ro ship),Ro-ro ship,72.66,229.35
9006253,NORMANDIE,Ro-pax ship,166.05,517.69
9007116,TYCHO BRAHE,Ro-pax ship,73.13,234.47
9007128,AURORA AF HELSINGBORG,Ro-pax ship,84.92,272.25
9007130,BARFLEUR,Ro-pax ship,169.98,530.67
9007283,EUROPEAN SEAWAY,Ro-pax ship,237.18,740.88
9007295,PRIDE OF CANTERBURY,Ro-pax ship,204.42,647.76
9007489,JORGEN REEFER,Refrigerated cargo carrier,82.07,257.25
9007491,CLUB MED 2,Passenger ship,108.41,347.55
9007532,JACAMAR ARROW,General cargo ship,97.96,306.21
9007544,QUETZAL ARROW,General cargo ship,86.85,272.13
9007764,CYMBELINE,Ro-ro ship,70.39,221.89
9007817,MSC NAMIBIA II,Container ship,129.59,404.09
9007867,EXCELLENT (Ro-ro ship),Ro-ro ship,62.56,195.11
9007879,TRANS CARRIER,Ro-ro ship,70.01,221.26
9008574,MSC TASMANIA,Container ship,137.85,431.43
9008603,MSC AMERICA,Container ship,113.8,357.66
9008706,ARACARI ARROW,General cargo ship,107.56,336.85
9008732,BALTIC PEARL,Refrigerated cargo carrier,79.7,250.06
9010151,EUROFERRY EGNAZIA,Ro-pax ship,166.2,524.02
9010163,FINNPARTNER,Ro-pax ship,140.56,443.58
9010175,EUROFERRY OLYMPIA,Ro-pax ship,158.19,498.68
9010814,MAZOVIA,Ro-pax ship,139.55,441.42
9010929,ZIRCON (Oil tanker),Oil tanker,72.1,224.53
9011014,LAURANA,Ro-pax ship,98.96,317.28
9014066,SAGA CREST,General cargo ship,91.93,286.97
9014078,SAGA SPRAY,General cargo ship,82.4,257.33
9014444,PRINCE OF SEAS,Refrigerated cargo carrier,58.45,182.43
9015187,HELLAS REEFER,Refrigerated cargo carrier,116.98,365.08
9015199,NEDERLAND REEFER,Refrigerated cargo carrier,117.99,368.13
9015204,BELGIE REEFER,Refrigerated cargo carrier,95.4,298.66
9015216,SCHWEIZ REEFER,Refrigerated cargo carrier,116.2,362.6
9015254,PRIDE OF BURGUNDY,Ro-pax ship,230.82,734.02
9015266,PRIDE OF KENT,Ro-pax ship,223.86,717.57
9015735,MAJESTIC,Ro-pax ship,175.38,547.04
9015747,SPLENDID,Ro-pax ship,199.86,623.88
9017628,ARMONIA (General cargo ship),General cargo ship,51.78,162.09
9017769,FINNTRADER,Ro-pax ship,139.52,440.31
9018646,OURO DO BRASIL,Refrigerated cargo carrier,85.08,265.94
9018658,SOL DO BRASIL,Refrigerated cargo carrier,91.09,284.99
9019054,DENIA CIUTAT CREATIVA,Ro-pax ship,99.4,310.8
9019066,BENIAMINO CARNEVALE,Ro-pax ship,107.5,335.94
9019078,GALILEUSZ,Ro-pax ship,85.66,270.4
9019080,BARBARA KRAHULIK,Ro-pax ship,98.44,307.52
9019640,RUNAWAY BAY,Refrigerated cargo carrier,62.25,195.27
9019652,ACONCAGUA BAY,Refrigerated cargo carrier,59.39,185.6
9020338,INGA A,Container ship,76.61,239
9020340,MARTINE A,Container ship,96.55,301.41
9020352,NATALIA A,Container ship,85.56,267.27
9021485,ZADAR,Ro-pax ship,81.61,261.63
9030137,ITALIA REEFER,Refrigerated cargo carrier,116.07,362.16
9030149,SWEDISH REEFER,Refrigerated cargo carrier,118.5,369.65
9030852,FIDES,Ro-ro ship,88.86,278.53
9030864,SPES,Container/ro-ro cargo ship,106.49,333.21
9031686,HARTMUT PUSCHMANN,Ro-pax ship,104.78,327.14
9031698,DRUJBA,Ro-pax ship,83.74,261.32
9031703,COPERNICUS (Ro-pax ship),Ro-pax ship,91.9,290.27
9031997,LAS PALMAS DE GRAN CANARIA,Ro-pax ship,93.31,292.3
9032496,ALBATROSS (General cargo ship),General cargo ship,135.73,425.21
9033505,BRAVE LEADER,Bulk carrier,52.83,165.9
9034731,KAPIDAG,Chemical tanker,46.04,143.91
9034743,AYSENAZ,Chemical tanker,37.37,116.74
9035101,MEGA EXPRESS FIVE,Ro-pax ship,235.57,735.07
9035876,BLUE GALAXY,Ro-pax ship,193.7,610.86
9036002,MSC SHAULA,Container ship,199.53,623.64
9037290,VAT,General cargo ship,44.87,140.12
9038323,AUTUMN WIND,Refrigerated cargo carrier,102.11,318.29
9038335,AUTUMN WAVE,Refrigerated cargo carrier,107.18,334.3
9038488,BALTIC PATRIOT,Refrigerated cargo carrier,73.19,228.72
9038907,MSC ROBERTA,Container ship,157.65,490.92
9038945,DUNEDIN STAR,Refrigerated cargo carrier,90.79,284.93
9039119,KONG HARALD,Ro-pax ship,77.68,249.05
9039250,MSC JOY,Container ship,110.99,349.96
9039391,JUAN J. SISTER,Ro-pax ship,126.02,393.51
9040118,CORAL PALMATA,Gas carrier,70.96,224.46
9040429,RICHARD WITH,Ro-pax ship,75.89,243.3
9040895,KIRAN ASYA,Bulk carrier,159.23,502.32
9041540,SARONIC BREEZE,Refrigerated cargo carrier,60.42,189.77
9041772,MARIKANA,Bulk carrier,50.17,157.01
9043081,NORDIC WOLVERINE,Chemical tanker,58.57,182.73
9043093,NORDIC LYNX,Chemical tanker,73.88,233.25
9043756,MSC ERMINIA,Container ship,121.92,380.12
9044011,LEO STAR I,Bulk carrier,59.24,185.25
9045168,WATER PHOENIX,Refrigerated cargo carrier,57.59,180.13
9045601,MEHMET BEY,General cargo ship,36.88,116.28
9045613,TK ROTTERDAM,General cargo ship,39.44,124.27
9045704,CS CIHAN,General cargo ship,36.28,113.35
9045728,NOTOS,General cargo ship,35.91,112.57
9045807,TEMSE,Gas carrier,50.45,161.74
9045924,PACIFIC MERMAID,Refrigerated cargo carrier,80.19,250.56
